Frame,Timestamp,Student ID,Emotion,Focus,Focus % (overall),Total Students
4500,15:24:37,2,fear,Distracted,0.0,2
4510,15:24:38,1,happy,Distracted,0.0,1
4520,15:24:38,1,fear,Distracted,0.0,1
4530,15:24:38,1,fear,Distracted,0.0,1
4540,15:24:38,1,happy,Distracted,0.0,1
4550,15:24:38,1,happy,Distracted,0.0,1
4560,15:24:38,1,happy,Distracted,0.0,1
4570,15:24:38,1,happy,Distracted,0.0,2
4570,15:24:38,2,fear,Distracted,0.0,2
4580,15:24:38,1,surprise,Focused,100.0,1
4590,15:24:38,1,happy,Distracted,0.0,1
4600,15:24:38,1,happy,Distracted,0.0,2
4600,15:24:38,2,happy,Distracted,0.0,2
4610,15:24:39,1,surprise,Focused,100.0,1
4620,15:24:39,1,happy,Distracted,0.0,1
4630,15:24:39,1,fear,Distracted,0.0,1
4640,15:24:39,1,fear,Distracted,0.0,2
4640,15:24:39,2,neutral,Distracted,0.0,2
4650,15:24:39,1,neutral,Distracted,0.0,1
4660,15:24:39,1,fear,Distracted,0.0,2
4660,15:24:39,2,neutral,Distracted,0.0,2
4670,15:24:39,1,sad,Distracted,0.0,2
4670,15:24:39,2,happy,Distracted,0.0,2
4680,15:24:39,1,sad,Distracted,0.0,2
4680,15:24:39,2,neutral,Distracted,0.0,2
4690,15:24:39,1,fear,Distracted,0.0,1
4700,15:24:39,1,sad,Distracted,0.0,1
4710,15:24:39,1,surprise,Focused,100.0,1
4720,15:24:40,1,surprise,Focused,100.0,1
4730,15:24:40,1,neutral,Distracted,0.0,1
4740,15:24:40,1,neutral,Distracted,0.0,1
4750,15:24:40,1,surprise,Focused,100.0,1
4760,15:24:40,1,sad,Distracted,0.0,1
4770,15:24:40,1,surprise,Focused,100.0,1
4780,15:24:40,1,surprise,Focused,100.0,1
4790,15:24:40,1,surprise,Focused,100.0,1
4800,15:24:41,1,surprise,Focused,100.0,1
4810,15:24:41,1,surprise,Focused,100.0,1
4820,15:24:41,1,surprise,Focused,100.0,1
4830,15:24:41,1,surprise,Focused,100.0,1
4840,15:24:41,1,neutral,Distracted,0.0,1
4850,15:24:41,1,surprise,Focused,100.0,1
4860,15:24:41,1,surprise,Focused,100.0,1
4870,15:24:41,1,surprise,Focused,100.0,1
4880,15:24:42,1,surprise,Focused,100.0,1
4890,15:24:42,1,surprise,Focused,100.0,1
4900,15:24:42,1,happy,Distracted,0.0,1
4910,15:24:42,1,happy,Distracted,0.0,1
