Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
2670,13:23:49,1,1,100.0,fear,Focused,,,,
2680,13:23:49,1,1,100.0,fear,Focused,,,,
2690,13:23:49,1,1,100.0,fear,Focused,,,,
2700,13:23:50,1,1,100.0,fear,Focused,,,,
2710,13:23:50,1,1,100.0,fear,Focused,,,,
2720,13:23:50,1,1,100.0,fear,Focused,,,,
2730,13:23:50,1,0,0.0,sad,Distracted,,,,
2740,13:23:50,1,0,0.0,neutral,Distracted,,,,
2750,13:23:50,2,0,0.0,happy,Distracted,sad,Distracted,,
2760,13:23:50,1,0,0.0,sad,Distracted,,,,
2770,13:23:50,1,0,0.0,sad,Distracted,,,,
2780,13:23:50,1,1,100.0,fear,Focused,,,,
2790,13:23:50,1,1,100.0,fear,Focused,,,,
2800,13:23:51,1,1,100.0,fear,Focused,,,,
2810,13:23:51,1,1,100.0,fear,Focused,,,,
2820,13:23:51,1,0,0.0,fear,Distracted,,,,
2830,13:23:51,1,1,100.0,fear,Focused,,,,
2840,13:23:51,1,0,0.0,neutral,Distracted,,,,
2850,13:23:51,1,0,0.0,neutral,Distracted,,,,
2860,13:23:51,1,0,0.0,neutral,Distracted,,,,
2870,13:23:51,1,0,0.0,neutral,Distracted,,,,
2880,13:23:51,1,1,100.0,fear,Focused,,,,
2890,13:23:52,1,1,100.0,fear,Focused,,,,
2900,13:23:52,1,0,0.0,neutral,Distracted,,,,
2910,13:23:52,1,0,0.0,sad,Distracted,,,,
2920,13:23:52,1,0,0.0,sad,Distracted,,,,
2930,13:23:52,1,0,0.0,neutral,Distracted,,,,
2940,13:23:52,1,0,0.0,neutral,Distracted,,,,
2950,13:23:52,1,1,100.0,fear,Focused,,,,
2960,13:23:52,1,1,100.0,fear,Focused,,,,
2970,13:23:52,1,1,100.0,fear,Focused,,,,
2980,13:23:52,1,0,0.0,fear,Distracted,,,,
2990,13:23:53,1,0,0.0,sad,Distracted,,,,
3000,13:23:53,2,0,0.0,sad,Distracted,happy,Distracted,,
3010,13:23:53,2,0,0.0,fear,Distracted,sad,Distracted,,
3020,13:23:53,2,0,0.0,fear,Distracted,fear,Distracted,,
